REAL TANAM INTI,,,,,,,,,,,,,,,,
UPDATE NOVEMBER 2025,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ESTATE,,,,TT,HA STATEMENT,,,,,,,,SERANGAN GANODERMA (PKK),,,
LAMA,BARU,BARU,BARU,,LUAS TANAM,,,TOTAL,,,TOTAL PKK,SPH,STADIUM 1&2,STADIUM 3&4,TOTAL,%SERANGAN
,,,,,SD THN 2024,PENAMBAHAN,SD 2025,TANAM,SISIP,SISIP KENTOSAN,,,,,,
,,,,,,,,,,,,,,,,
AME,AME,AME004,B022B,2013, - ,, - , -   , -   , -   , -   , -   , -   , -   , -   ,0.00%
AME,AME,AME004,B023A,0, - ,, - , -   , -   , -   , -   , -   , -   , -   , -   ,0.00%
AME,AME,AME004,B024A,2021, 0.6 ,, 0.6 , 84 , -   , -   , 84 , 140 , -   , -   , -   ,0.00%
AME,AME,AME004,B024B,0, - ,, - , -   , -   , -   , -   , -   , -   , -   , -   ,0.00%
AME,AME,AME004,C012A,2011, 29.7 ,, 29.7 , 20 ," 3,580 ", -   ," 3,600 ", 121 , 277 , 88 , 365 ,10.14%
AME,AME,AME004,C013A,2013, 29.7 ,, 29.7 ," 3,514 ", 94 , -   ," 3,608 ", 121 , 216 , 65 , 281 ,7.79%
AME,AME,AME004,C014A,2012, 29.2 ,, 29.2 ," 3,251 ", 485 , -   ," 3,736 ", 128 , 151 , 36 , 187 ,5.01%
AME,AME,AME004,C015A,2013, 28.9 ,, 28.9 ," 3,037 ", 235 , -   ," 3,272 ", 113 , 119 , 37 , 156 ,4.77%
AME,AME,AME004,C016A,2013, 28.7 ,, 28.7 ," 3,688 ", 65 , -   ," 3,753 ", 131 , 165 , 47 , 212 ,5.65%
AME,AME,AME004,C017A,2013, 26.9 ,, 26.9 ," 3,183 ", 321 , -   ," 3,504 ", 130 , 141 , 42 , 183 ,5.22%
AME,AME,AME004,C018A,2012, 27.3 ,, 27.3 ," 1,252 "," 2,125 ", 3 ," 3,380 ", 124 , 109 , 21 , 130 ,3.85%
AME,AME,AME004,C018B,2015, 3.0 ,, 3.0 , 298 , 100 , -   , 398 , 133 , -   , -   , -   ,0.00%
AME,AME,AME004,C019A,2011, 28.2 ,, 28.2 ," 2,294 "," 1,056 ", 17 ," 3,367 ", 119 , 170 , 34 , 204 ,6.06%
,,,,,,,,,,,,,,,,
